term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
P80,-2.1772654488881795e-12,2.3768079392887642e-12,-0.9160460182322111,0.360111527012248,P80,FASYN_ELONG_PWY,0.360111527012248,-6.835809009894157e-12,2.481278112117798e-12
CMC,-5.254847442054201e-13,7.958704592940381e-13,-0.6602641649390297,0.5094070846318128,CMC,FASYN_ELONG_PWY,0.5094070846318128,-2.0853908444217346e-12,1.0344213560108944e-12
CRN,-2.368708128777007e-12,1.7084773023319727e-12,-1.386444013943795,0.1662672730079032,CRN,FASYN_ELONG_PWY,0.1662672730079032,-5.717323641347673e-12,9.799073837936595e-13
AlSiO,-3.19276921539496e-10,5.757576244988702e-10,-0.5545335536240433,0.5794769613532811,AlSiO,FASYN_ELONG_PWY,0.5794769613532811,-1.4477618655572814e-9,8.092080224782895e-10
SO32,1.4414853358519418e-11,1.4333907381837126e-10,0.10056471675535493,0.919938798604012,SO32,FASYN_ELONG_PWY,0.919938798604012,-2.6652973132548827e-10,2.9535943804252706e-10
TiO2,1.6491187247412703e-10,7.377496277037259e-11,2.23533657329549,0.025863191478466274,TiO2,FASYN_ELONG_PWY,0.025863191478466274,2.0312945444196757e-11,3.095107995040573e-10
Asp,-7.140670827607938e-13,5.0480728609411225e-11,-0.014145340260157593,0.9887200174056394,Asp,FASYN_ELONG_PWY,0.9887200174056394,-9.96562951572068e-11,9.82281609916852e-11
Suc,5.0060027233855335e-12,7.866091353052259e-11,0.06364028204990356,0.9492836555207299,Suc,FASYN_ELONG_PWY,0.9492836555207299,-1.4916938779643876e-10,1.591813932432098e-10
Sac,1.9093819225193668e-10,1.0838108643533753e-10,1.7617298232736804,0.07876366371803435,Sac,FASYN_ELONG_PWY,0.07876366371803435,-2.1488737161324863e-11,4.033651216651982e-10
TotalAd,-3.861297753704091e-13,4.4176274324635323e-13,-0.8740659579684839,0.3825277784888249,TotalAd,FASYN_ELONG_PWY,0.3825277784888249,-1.2519847521332614e-12,4.797252013924431e-13
TotalAs,1.058951894534575e-11,2.519375433953191e-11,0.42032318020699166,0.6744410687833452,TotalAs,FASYN_ELONG_PWY,0.6744410687833452,-3.8790239560136795e-11,5.996927745082829e-11
TotalEM,-3.9883178476264483e-13,4.437678322572066e-13,-0.8987397367988652,0.3692505220864847,TotalEM,FASYN_ELONG_PWY,0.3692505220864847,-1.2686167359867696e-12,4.709531664614801e-13
P80.Annual.Intake,-5.3186567065633674e-8,7.018138226039571e-8,-0.7578443933790624,0.44892394468093444,P80.Annual.Intake,FASYN_ELONG_PWY,0.44892394468093444,-1.9074207629600926e-7,8.436894216474191e-8
CMC.Annual.Intake,-1.2239525842843489e-8,2.3505967520848412e-8,-0.5206986622434387,0.6028219158940353,CMC.Annual.Intake,FASYN_ELONG_PWY,0.6028219158940353,-5.8311222183706375e-8,3.3832170498019397e-8
CRN.Annual.Intake,-6.638893473832592e-8,5.041664248769921e-8,-1.3168059486413375,0.18854537511924505,CRN.Annual.Intake,FASYN_ELONG_PWY,0.18854537511924505,-1.6520555401421636e-7,3.242768453756453e-8
AlSiO.Annual.Intake,3.7696078331581112e-06,1.3554973663052732e-5,0.2780977615200437,0.7810596108801661,AlSiO.Annual.Intake,FASYN_ELONG_PWY,0.7810596108801661,-2.279814054642524e-5,3.0337356212741464e-5
SO32.Annual.Intake,1.781658792893765e-6,3.7868854418141902e-6,0.4704813019218829,0.6382294428958423,SO32.Annual.Intake,FASYN_ELONG_PWY,0.6382294428958423,-5.640636673062047e-6,9.203954258849577e-6
TiO2.Annual.Intake,3.588450661466265e-6,1.2455430484774304e-6,2.881033028808469,0.0041450066068582266,TiO2.Annual.Intake,FASYN_ELONG_PWY,0.0041450066068582266,1.1471862864505015e-6,6.029715036482029e-6
Asp.Annual.Intake,7.080839063656156e-7,1.3110025861834374e-6,0.5401087029332066,0.589377890401368,Asp.Annual.Intake,FASYN_ELONG_PWY,0.589377890401368,-1.8614811625539214e-6,3.277648975285153e-6
Suc.Annual.Intake,1.2151024752199236e-6,2.0552764409882136e-6,0.5912112117801928,0.5546631294218826,Suc.Annual.Intake,FASYN_ELONG_PWY,0.5546631294218826,-2.8132393491169743e-6,5.243444299556822e-6
Sac.Annual.Intake,6.188793984716612e-6,2.8223002932640674e-6,2.1928190984805176,0.028809804986856945,Sac.Annual.Intake,FASYN_ELONG_PWY,0.028809804986856945,6.5708540991904e-7,1.1720502559514184e-5
TotalAd.Annual.Intake,-9.396026558109728e-9,1.3056050610182004e-8,-0.7196683620988772,0.4720869108754938,TotalAd.Annual.Intake,FASYN_ELONG_PWY,0.4720869108754938,-3.4985885754066455e-8,1.6193832637846996e-8
