term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(age_10_18_years_3)2,-1.2254261196795277e-6,1.2014306201776725e-5,-0.10199724387732906,0.9188021785186744,age_10_18_years_3,FASYN_ELONG_PWY,0.9188021785186744
factor(age_1_5_years_5)2,8.237673030572682e-6,1.3117872594429862e-5,0.6279732457586591,0.5303258198259876,age_1_5_years_5,FASYN_ELONG_PWY,0.5303258198259876
factor(age_5_10_years_5)2,1.9522651803170205e-5,1.1470773200657179e-5,1.701947328367692,0.0894237263589307,age_5_10_years_5,FASYN_ELONG_PWY,0.0894237263589307
factor(age_10_18_years_5)2,3.687816758862039e-5,1.1117638600875878e-5,3.3170863807099313,9.79992925572619e-4,age_10_18_years_5,FASYN_ELONG_PWY,9.79992925572619e-4
factor(age_1_5_years_6)2,9.931280004959383e-6,1.2070129867012812e-5,0.8227981069285077,0.41103830033361943,age_1_5_years_6,FASYN_ELONG_PWY,0.41103830033361943
factor(age_5_10_years_6)2,1.1471749192031286e-5,1.2563116162586057e-5,0.9131292780842903,0.36164072923749446,age_5_10_years_6,FASYN_ELONG_PWY,0.36164072923749446
factor(age_10_18_years_6)2,1.0803781002568346e-5,1.3225331888644332e-5,0.816900558226807,0.41439737786075614,age_10_18_years_6,FASYN_ELONG_PWY,0.41439737786075614
factor(age_1_5_years_7)2,-1.2966376900839333e-6,1.2603185197678458e-5,-0.10288174534821384,0.9181005211907258,age_1_5_years_7,FASYN_ELONG_PWY,0.9181005211907258
factor(age_5_10_years_7)2,5.941818318251991e-6,1.4037041896276346e-5,0.4232956175637117,0.6722723969463039,age_5_10_years_7,FASYN_ELONG_PWY,0.6722723969463039
factor(age_10_18_years_7)2,1.4775419150107714e-6,1.5846725878153785e-5,0.09323957051896146,0.9257528019867162,age_10_18_years_7,FASYN_ELONG_PWY,0.9257528019867162
factor(age_1_5_years_8)2,7.971227988683544e-6,1.2791806436049696e-5,0.6231510794456002,0.533486864360863,age_1_5_years_8,FASYN_ELONG_PWY,0.533486864360863
factor(age_5_10_years_8)2,4.553138473211039e-6,1.1625037184117887e-5,0.39166657285462547,0.6954817308971852,age_5_10_years_8,FASYN_ELONG_PWY,0.6954817308971852
factor(age_10_18_years_8)2,8.343398710706003e-6,1.155371092688765e-5,0.722140164619261,0.47056820297969737,age_10_18_years_8,FASYN_ELONG_PWY,0.47056820297969737
