term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
totalem,-4.5131779330548157e-14,4.700307669608699e-13,-0.09601877686084617,0.9235468491114892,totalem,PENTOSE_P_PWY,0.9235468491114892
p80mgkgday,-4.01593973652017e-9,7.436213975392031e-8,-0.05400516647059571,0.9569541922940401,p80mgkgday,PENTOSE_P_PWY,0.9569541922940401
cmcmgkgday,3.459077854739657e-9,2.4861249263443234e-8,0.13913531931100478,0.8894033274612256,cmcmgkgday,PENTOSE_P_PWY,0.8894033274612256
crnmgkgday,-2.7928244328121762e-8,5.3470765282525475e-8,-0.5223086705521467,0.6017036305483165,crnmgkgday,PENTOSE_P_PWY,0.6017036305483165
alsiomgkgday,9.453780884182695e-6,1.4544598731173268e-5,0.6499856791456555,0.5160217567872407,alsiomgkgday,PENTOSE_P_PWY,0.5160217567872407
so32mgkgday,5.531037384398285e-6,4.294978383301839e-6,1.2877916698957177,0.1984576331800411,so32mgkgday,PENTOSE_P_PWY,0.1984576331800411
tio2mgkgday,6.870483541556308e-7,1.3647023488444377e-6,0.5034419078544045,0.6148915003169795,tio2mgkgday,PENTOSE_P_PWY,0.6148915003169795
aspmgkgday,1.825725155096242e-6,1.552393132760551e-6,1.1760713936228493,0.2401668046924728,aspmgkgday,PENTOSE_P_PWY,0.2401668046924728
sucmgkgday,3.119216752273486e-6,2.448847175540632e-6,1.2737490454400677,0.20338730118368734,sucmgkgday,PENTOSE_P_PWY,0.20338730118368734
sacmgkgday,6.628979195145481e-6,3.274837492186426e-6,2.024216227816447,0.043517873167489694,sacmgkgday,PENTOSE_P_PWY,0.043517873167489694
totaladmgkgday,-4.4011398456306843e-10,1.3851523504525058e-8,-0.031773687884895166,0.9746661339785863,totaladmgkgday,PENTOSE_P_PWY,0.9746661339785863
totalasmgkgday,1.1831883302620015e-6,7.900721939788712e-7,1.4975698920669056,0.13492205740007976,totalasmgkgday,PENTOSE_P_PWY,0.13492205740007976
totalemmgkgday,-9.44495688856005e-10,1.3894303467587347e-8,-0.067977188713297207,0.9458329497817084,totalemmgkgday,PENTOSE_P_PWY,0.9458329497817084
p80,-1.6620360576945154e-12,1.4927339139485026e-12,-1.113417496691144,0.26610191665196176,p80,POLYISOPRENSYN_PWY,0.26610191665196176
cmc,-4.857444586533584e-13,4.991262138598605e-13,-0.973189636538987,0.3309628631760967,cmc,POLYISOPRENSYN_PWY,0.3309628631760967
crn,-1.417729437768592e-12,1.073418151497919e-12,-1.3207615650901732,0.18722772528816709,crn,POLYISOPRENSYN_PWY,0.18722772528816709
alsio,2.173328268414928e-10,3.6697387122079575e-10,0.5922297032170201,0.5539834006100519,alsio,POLYISOPRENSYN_PWY,0.5539834006100519
so32,1.3632857974941398e-11,9.76315780664815e-11,0.13963574332126646,0.8890079978604142,so32,POLYISOPRENSYN_PWY,0.8890079978604142
tio2,8.673200949771837e-11,4.822859507609251e-11,1.7983523957286591,0.07276684768938864,tio2,POLYISOPRENSYN_PWY,0.07276684768938864
asp,-4.058989108647194e-12,3.6166331913690397e-11,-0.11223115239703657,0.9106883528036799,asp,POLYISOPRENSYN_PWY,0.9106883528036799
suc,1.5842775097073393e-11,5.68437381649951e-11,0.2787074813955413,0.7805926906316747,suc,POLYISOPRENSYN_PWY,0.7805926906316747
sac,1.0670567911956749e-10,7.558248470164436e-11,1.4117778681235391,0.15868131354141043,sac,POLYISOPRENSYN_PWY,0.15868131354141043
totalad,-2.9818916571299557e-13,2.777737198374636e-13,-1.0734966788344047,0.28360270333590015,totalad,POLYISOPRENSYN_PWY,0.28360270333590015
totalas,6.813807165314227e-12,1.8273951323894516e-11,0.3728699417298261,0.7094144191734255,totalas,POLYISOPRENSYN_PWY,0.7094144191734255
totalem,-3.044838685912197e-13,2.785015884427535e-13,-1.0932931129540286,0.2748287544760866,totalem,POLYISOPRENSYN_PWY,0.2748287544760866
p80mgkgday,-4.513432085462375e-8,4.406660616628781e-8,-1.0242295647708122,0.30625824214910613,p80mgkgday,POLYISOPRENSYN_PWY,0.30625824214910613
cmcmgkgday,-1.3019187393329214e-8,1.4737141531042803e-8,-0.8834269092079469,0.37746117896404796,cmcmgkgday,POLYISOPRENSYN_PWY,0.37746117896404796
crnmgkgday,-4.0253020355224716e-8,3.167648367657978e-8,-1.270754063683718,0.2044501651524766,crnmgkgday,POLYISOPRENSYN_PWY,0.2044501651524766
alsiomgkgday,9.530678295496302e-6,8.621333734468898e-6,1.105476088623244,0.2695237578427102,alsiomgkgday,POLYISOPRENSYN_PWY,0.2695237578427102
so32mgkgday,1.0785180458793242e-6,2.552077420642019e-6,0.42260396849873166,0.6727791592387908,so32mgkgday,POLYISOPRENSYN_PWY,0.6727791592387908
tio2mgkgday,1.6663135471864694e-6,8.061555729454634e-7,2.066987568042522,0.03928701331774937,tio2mgkgday,POLYISOPRENSYN_PWY,0.03928701331774937
aspmgkgday,2.0411175517911394e-7,9.222891705452313e-7,0.22130993369297486,0.8249480562119244,aspmgkgday,POLYISOPRENSYN_PWY,0.8249480562119244
sucmgkgday,8.563223262238901e-7,1.4547878204058886e-6,0.5886235189850397,0.5563990449465409,sucmgkgday,POLYISOPRENSYN_PWY,0.5563990449465409
sacmgkgday,3.2367791232679308e-6,1.9455817863196006e-6,1.663656159832196,0.09685345529387143,sacmgkgday,POLYISOPRENSYN_PWY,0.09685345529387143
totaladmgkgday,-8.014629515898312e-9,8.209164587176663e-9,-0.9763026956991179,0.3294210213992331,totaladmgkgday,POLYISOPRENSYN_PWY,0.3294210213992331
totalasmgkgday,3.298696620459022e-7,4.6959576786390443e-7,0.7024545036817775,0.4827464959585609,totalasmgkgday,POLYISOPRENSYN_PWY,0.4827464959585609
totalemmgkgday,-8.358375142705856e-9,8.233868690888128e-9,-1.0151212578791196,0.31057478552542356,totalemmgkgday,POLYISOPRENSYN_PWY,0.31057478552542356
p80,-1.976280735644063e-12,2.3224891971457233e-12,-0.8509321542045745,0.3952431337845379,p80,PWY_5347,0.3952431337845379
cmc,-4.921367588378871e-13,7.76597022907002e-13,-0.6337093039523805,0.5265807973082355,cmc,PWY_5347,0.5265807973082355
crn,-1.8878493215764847e-12,1.6700028215060963e-12,-1.1304467856371183,0.25886824915022943,crn,PWY_5347,0.25886824915022943
alsio,-1.784179240835681e-10,5.708010947054031e-10,-0.3125746003967487,0.7547434053513095,alsio,PWY_5347,0.7547434053513095
so32,1.0216159608765543e-10,1.5174723271070913e-10,0.6732353154829271,0.5011306218614697,so32,PWY_5347,0.5011306218614697
tio2,6.168232558268934e-11,7.520083500860215e-11,0.820234583507398,0.4125008447695201,tio2,PWY_5347,0.4125008447695201
asp,2.3884616582819722e-11,5.622875814920589e-11,0.4247758152410314,0.6711957455473975,asp,PWY_5347,0.6711957455473975
suc,8.299121462693164e-11,8.831624320680343e-11,0.9397049921224279,0.34785468650372164,suc,PWY_5347,0.34785468650372164
sac,2.9547648714308135e-10,1.1698542555741092e-10,2.525754688972563,0.011874687426035417,sac,PWY_5347,0.011874687426035417
totalad,-3.3702225672540383e-13,4.3219110793773444e-13,-0.7797991456454455,0.4359041294131195,totalad,PWY_5347,0.4359041294131195
totalas,3.188135383035472e-11,2.8382015694371644e-11,1.1232942076301162,0.2618896848779484,totalas,PWY_5347,0.2618896848779484
totalem,-3.4902203745436353e-13,4.3332461610047967e-13,-0.8054516740711356,0.42096899078718697,totalem,PWY_5347,0.42096899078718697
p80mgkgday,-5.1467533169438315e-8,6.858786228096651e-8,-0.7503883552836844,0.4533995496168607,p80mgkgday,PWY_5347,0.4533995496168607
cmcmgkgday,-1.1928141752751827e-8,2.293835433762778e-8,-0.5200086099108278,0.6033045090681568,cmcmgkgday,PWY_5347,0.6033045090681568
crnmgkgday,-5.314446405748508e-8,4.9301366470936386e-8,-1.077951137293816,0.2816132368613683,crnmgkgday,PWY_5347,0.2816132368613683
alsiomgkgday,5.919564650015249e-7,1.3429315453843851e-5,0.04407942214449138,0.9648599769878613,alsiomgkgday,PWY_5347,0.9648599769878613
so32mgkgday,3.6550447123969045e-6,3.967285875626674e-6,0.9212960262964545,0.35737259914363695,so32mgkgday,PWY_5347,0.35737259914363695
tio2mgkgday,9.446467845646322e-7,1.2590707137183944e-6,0.7502730182444012,0.4534689296358718,tio2mgkgday,PWY_5347,0.4534689296358718
aspmgkgday,1.113093337163082e-6,1.4339067896435827e-6,0.7762661737864821,0.43798564949284347,aspmgkgday,PWY_5347,0.43798564949284347
sucmgkgday,2.976263284782361e-6,2.259778335003313e-6,1.3170598366578277,0.18846583677558448,sucmgkgday,PWY_5347,0.18846583677558448
sacmgkgday,8.35316880113272e-6,3.0108535262284063e-6,2.7743524314171637,0.005753338510685581,sacmgkgday,PWY_5347,0.005753338510685581
totaladmgkgday,-8.58551538606021e-9,1.2777444081713707e-8,-0.6719274473951541,0.5019628663451601,totaladmgkgday,PWY_5347,0.5019628663451601
totalasmgkgday,1.0833235590352172e-6,7.29188005390144e-7,1.4856574038894084,0.13804594036641107,totalasmgkgday,PWY_5347,0.13804594036641107
totalemmgkgday,-9.108658314179961e-9,1.2816219743849623e-8,-0.7107133379599797,0.4776174380018554,totalemmgkgday,PWY_5347,0.4776174380018554
p80,-8.666909757714368e-13,1.3084525142755813e-12,-0.6623786238442716,0.5080553466550215,p80,PWY_5838,0.5080553466550215
cmc,-2.149091697142468e-13,4.3746361091827805e-13,-0.49126182007031816,0.6234720701656893,cmc,PWY_5838,0.6234720701656893
crn,-9.991743338141554e-13,9.407157456094372e-13,-1.0621426700653833,0.2887198709993651,crn,PWY_5838,0.2887198709993651
alsio,6.737309028072318e-11,3.2150042711096074e-10,0.2095583227871434,0.8341037963066433,alsio,PWY_5838,0.8341037963066433
so32,1.2555107172535807e-10,8.530969458957128e-11,1.4717093095853857,0.1417729311781192,so32,PWY_5838,0.1417729311781192
