term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
mufa_g,4.6833660670969947e-7,1.2845247494259946e-7,3.6459913047139136,2.976267784730405e-4,mufa_g,METSYN_PWY,2.976267784730405e-4
pufa_g,5.451312361415651e-7,5.149685196866546e-7,1.0585719617837297,0.29036518243423076,pufa_g,METSYN_PWY,0.29036518243423076
omega3fa_g,7.673316182773133e-8,2.9596549843970144e-8,2.592638744457053,0.009838518251679706,omega3fa_g,METSYN_PWY,0.009838518251679706
omega6fa_g,-3.1130855744426556e-7,4.762915871471716e-7,-0.6536091878273568,0.5137034976757009,omega6fa_g,METSYN_PWY,0.5137034976757009
cholesterol_mg,3.00946608722327e-10,5.5460993882901756e-9,0.054262750746539856,0.9567500154994836,cholesterol_mg,METSYN_PWY,0.9567500154994836
alcohol_g,-1.5730084077280457e-6,5.909756743788627e-7,-2.6617143072451093,0.008055130458158357,alcohol_g,METSYN_PWY,0.008055130458158357
fiber_g,-2.474551370471902e-7,1.7003639370340832e-7,-1.455306900232324,0.14628622059575422,fiber_g,METSYN_PWY,0.14628622059575422
b1_mg,2.9388198472789727e-6,1.2814023105906776e-6,2.2934404152309424,0.022284890738431345,b1_mg,METSYN_PWY,0.022284890738431345
b2_mg,2.3934992538593054e-6,1.0360905798253827e-6,2.310125485614099,0.021334825526608796,b2_mg,METSYN_PWY,0.021334825526608796
b3_mg,4.851628598508917e-7,2.2004234167987195e-7,2.204861374165567,0.0279712609683476,b3_mg,METSYN_PWY,0.0279712609683476
b6_mg,7.567826421108085e-7,1.9014421211867362e-7,3.980045638404613,8.035908307560524e-5,b6_mg,METSYN_PWY,8.035908307560524e-5
b12_mcg,3.998291814281717e-7,1.2661845488694054e-7,3.157748069072435,0.0016973549656310349,b12_mcg,METSYN_PWY,0.0016973549656310349
vitaminc_mg,-5.540611597697569e-8,6.54441687749505e-8,-0.8466165437520694,0.397660893515567,vitaminc_mg,METSYN_PWY,0.397660893515567
vitaminetocoa_mg,-2.442673809882182e-7,6.005573238724869e-7,-0.4067344969055479,0.6843981113034483,vitaminetocoa_mg,METSYN_PWY,0.6843981113034483
bcarotene_mcg,-3.0382242975860984e-9,2.1147258562971185e-9,-1.4366988933998397,0.15150309830449307,bcarotene_mcg,METSYN_PWY,0.15150309830449307
folicacid_mcg_dfe,6.6147237382357e-8,3.46303972881411e-8,1.9100917853174209,0.05705914156949008,folicacid_mcg_dfe,METSYN_PWY,0.05705914156949008
folate_mcg,6.247773960358184e-10,2.2191843063795677e-8,0.02815347036475288,0.9775522845014158,folate_mcg,METSYN_PWY,0.9775522845014158
iron_mg,-1.3908012134210844e-8,9.614557119947934e-8,-0.14465577520315528,0.8850527131721494,iron_mg,METSYN_PWY,0.8850527131721494
zinc_mg,3.0988754207120716e-7,2.3087632430471594e-7,1.3422231274879894,0.1802557091215972,zinc_mg,METSYN_PWY,0.1802557091215972
selenium_mcg,1.9506375590727947e-8,3.2209750360176887e-8,0.6056046809616076,0.5451083423161571,selenium_mcg,METSYN_PWY,0.5451083423161571
magnesium_mg,3.932422242628261e-9,1.1511251315150245e-8,0.3416155320536441,0.7328011425914471,magnesium_mg,METSYN_PWY,0.7328011425914471
caffeine_mg,-3.2891371209926365e-8,2.9207720909767443e-8,-1.1261190598040487,0.26099751993722986,caffeine_mg,METSYN_PWY,0.26099751993722986
vitd_iu,-2.676887857433833e-7,2.0027809129166457e-7,-1.3365854648252498,0.1830173560843374,vitd_iu,METSYN_PWY,0.1830173560843374
protein_g,-6.568101056528816e-9,2.6011741586778827e-8,-0.2525052401668957,0.8007663734740083,protein_g,P161_PWY,0.8007663734740083
total_fat_g,4.194535882626812e-8,5.487880140457003e-8,0.7643271673709535,0.4450746799726213,total_fat_g,P161_PWY,0.4450746799726213
sfa_g,1.8388034507976124e-7,2.0299138926450936e-7,0.905852931722905,0.3655006194876249,sfa_g,P161_PWY,0.3655006194876249
mufa_g,3.9685020397156003e-7,1.2052185315576843e-7,3.292765532393956,0.001070627450961907,mufa_g,P161_PWY,0.001070627450961907
pufa_g,9.979753978846999e-8,4.824684421163652e-7,0.20684780822286425,0.836222697155773,pufa_g,P161_PWY,0.836222697155773
omega3fa_g,-6.793971690984283e-9,2.7928084592672067e-8,-0.2432666539819535,0.8079111841224698,omega3fa_g,P161_PWY,0.8079111841224698
omega6fa_g,-3.5860126689199074e-7,4.4629352100663277e-7,-0.8035099099873808,0.4221119647236682,omega6fa_g,P161_PWY,0.4221119647236682
cholesterol_mg,3.066836592786846e-11,5.18985898807601e-9,0.005909286937916952,0.9952877290357711,cholesterol_mg,P161_PWY,0.9952877290357711
alcohol_g,-8.665205717636051e-7,5.560764019552516e-7,-1.558276108672807,0.11987708829896163,alcohol_g,P161_PWY,0.11987708829896163
fiber_g,-1.665649735389453e-7,1.59295569433839e-7,-1.0456346911024763,0.2962948277565736,fiber_g,P161_PWY,0.2962948277565736
b1_mg,2.7367054489898887e-6,1.19915872153131e-6,2.2821878370655986,0.022946278579890626,b1_mg,P161_PWY,0.022946278579890626
b2_mg,2.335979781259304e-6,9.690296395136736e-7,2.4106381126088783,0.01632639510119859,b2_mg,P161_PWY,0.01632639510119859
b3_mg,5.268058470336571e-7,2.0552035559618334e-7,2.563278199404985,0.010694346446495558,b3_mg,P161_PWY,0.010694346446495558
b6_mg,6.103727471487724e-7,1.7873718967791426e-7,3.4149174452651323,6.960924845147183e-4,b6_mg,P161_PWY,6.960924845147183e-4
b12_mcg,3.838706934349362e-7,1.1841558035540886e-7,3.241724545729528,0.0012767398986731412,b12_mcg,P161_PWY,0.0012767398986731412
vitaminc_mg,5.4276401957604125e-9,6.128875406324517e-8,0.0885585011266425,0.9294723628309933,vitaminc_mg,P161_PWY,0.9294723628309933
vitaminetocoa_mg,3.931453582478622e-7,5.619769060827021e-7,0.699575648024949,0.4845570543990205,vitaminetocoa_mg,P161_PWY,0.4845570543990205
bcarotene_mcg,3.52459166674818e-10,1.9847534618792587e-9,0.1775833489873815,0.859130644968646,bcarotene_mcg,P161_PWY,0.859130644968646
folicacid_mcg_dfe,3.868122256454673e-8,3.260070646942727e-8,1.186514856689432,0.2363424382654853,folicacid_mcg_dfe,P161_PWY,0.2363424382654853
folate_mcg,1.467477631625991e-8,2.0754777162067755e-8,0.7070553541321613,0.47989968508934,folate_mcg,P161_PWY,0.47989968508934
iron_mg,-1.4183606850009775e-8,9.09323826024586e-8,-0.15597971200224864,0.8761246750426828,iron_mg,P161_PWY,0.8761246750426828
zinc_mg,2.1953477657111207e-7,2.185661186188749e-7,1.004431876076485,0.3157543722175388,zinc_mg,P161_PWY,0.3157543722175388
selenium_mcg,7.207606232562131e-9,3.0471099774222806e-8,0.23653909067829068,0.8131310835064282,selenium_mcg,P161_PWY,0.8131310835064282
