feature	k149_101865_34	k149_103437_27	k149_106777_66	k149_107332_92	k149_110324_8	k149_110541_22	k149_112649_18	k149_115884_6	k149_116128_96	k149_117874_31	k149_118281_20	k149_122792_191	k149_130261_154	k149_130261_183	k149_130672_15	k149_131241_136	k149_134666_10	k149_137462_21	k149_145357_32	k149_148463_138	k149_148463_24	k149_154020_42	k149_1590_94	k149_163091_142	k149_163091_90	k149_163091_92	k149_16561_10	k149_168025_95	k149_168967_172	k149_17078_68	k149_191853_13	k149_198842_65	k149_211711_7	k149_212974_29	k149_218693_8	k149_25741_10	k149_277096_39	k149_28321_45	k149_29044_31	k149_305790_18	k149_34831_79	k149_43075_294	k149_43898_21	k149_43954_24	k149_44733_4	k149_45431_17	k149_45854_12	k149_49060_101	k149_49060_107	k149_49100_7	k149_49232_21	k149_49857_4	k149_54842_45	k149_59941_16	k149_63122_44	k149_6815_10	k149_69830_8	k149_7326_19	k149_74925_127	k149_78077_21	k149_78367_20	k149_78367_238	k149_78367_35	k149_85850_31	k149_85897_43	k149_91219_23	k149_99651_133	k149_99651_276
KM4035	0	2.062	0	0	2.453	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.301	0	1	0	0	4.213	0	0	0	9.603	0	23	0	0	0	1.417	0	0	0	0	0	4	11.937	0	0	1	0	0	10.691	0	1	0	0	0	0	0	1.242	0	0	0	1	0	1	0
KM4036	0	0	0	0	0	36.261	18.505	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	19.074	2	0	0	0	0	0	0	1.122	0	0	0	9.884	15.374	2	1	0	2.474	3	32.085	0	0	0	0	0	1.524	0	1	0	1	0	0	0	0	0
KM4037	1.032	0	0	0	4.397	0	0	0	3.678	0	0	1.052	2.096	2	0	0	0	1.678	1.142	4.885	0	1.321	0	5.573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.007	5.098	0	1.559	0	0	1	0	0	1.469	0	1.035	2.263	0	0	0	0	5.723	0	0	13.336	0	3.055	0	0	0	1	1	1	0
KM4038	0	0	0	0	0	5	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	970.979	0	0	0	32	0	0	0	0	0	0	0	0	0	9	9.691	0	0	0	0	0	1.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM4039	0	0	0	0	3.407	0	0	0	5.64	4	0	2.426	0	6.58	0	1	0	9.219	0	2	0	3	2.661	0	7	18	8.402	0	0	0	0	347.064	0	0	0	0	0	0	4.625	0	0	1.376	1	6	0	2	2.022	0	1.097	1	2.231	2.32	1.078	0	0	0	0	2.329	1	0	9.952	3	0	0	0	0	2	1.53
KM4040	6.728	0	6.08	4.254	8.687	8.052	5.503	30.255	2.092	2.08	0	7.736	0	2.085	1.475	2	0	0	4.991	4	0	1.423	0	1.304	1	10	6.646	0	0	3	1	3.522	8.071	10.674	0	1	0	0	6.723	5.081	1.934	15.526	6	3	0	6	11.037	5.547	3.555	7.117	20.114	0	0	1	0	0	0	1.082	10.375	1	7.038	0	1.153	0	4.944	4.022	1.305	1.702
KM4041	0	7.893	1.905	0	0	17.927	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	8.329	0	43	9	7	0	0	0	1	0	0	2	8	11.969	0	0	0	0.5	7.146	0	0	0	2.302	0	0	0	0	0	0	0	5	0	0	0	0
KM4042	9.134	0	1.036	6.587	11.244	0	0	0	8.322	1	0	9.966	3.189	10.195	3.531	12.204	0	8.099	5.99	2.562	1.238	20.741	0.326	15.718	8.894	26	10.781	2	1.165	0	0	0	0	0	0	3	0	0	7.238	41.536	8.432	21.231	7.532	4.599	0	0	1	25.039	7.237	12.656	77.433	2.121	0	2.309	5	4.622	2	4.666	32.353	0	20.987	1.433	1.405	0	10.336	7.095	7.189	6.073
KM4043	0	0	0	1.093	5.47	5.294	5	0	7.245	0	0	3.025	0	1.219	0	3.453	15	1.235	1	2	1.262	0	1.432	1.225	0	1	5.228	3	0	3	15.85	26.312	0	10.653	1.153	8	2	3	3.926	8.989	3	2.053	2.12	1	0	11.508	14.711	9.591	0	1.281	9.512	7.457	23.287	0	6	1.359	4.791	0	12.698	16	3.355	0	0	2	2.376	0	1.247	0
KM4044	1	7.26	0	0	1.241	30.283	23.026	0	0	0	1	1.346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.155	0	0	21	0	0	0	39.056	0	57.868	0	0	1	2.259	0	0	0	0	0	26	40.594	0	0	1.34	3.538	0	9.968	0	0	2.193	0	1	0	0	1	0	0	0	0	0	0	0
KM4045	0	0	0	0	1.316	5	0	0	1.389	0	0	1.022	0	1.184	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2.461	0	21	0	0	0	3.706	0	1.671	0	0	0	1.402	7.226	3.044	0	0	8.412	2.419	1.318	0	0	0	0	0	0	0	0	0	0	0	0	1.691	0	0
KM4046	49.077	0	0	8.25	24.06	0	0	0	7.104	0	1.5	39.582	23.781	27.568	7.616	12.522	0	34.186	24.988	13.549	3.012	79.063	9.488	9.633	24	99.522	41.868	65.351	0	0	0	0	0	0	0	0	0	0	31.654	12.624	18.738	15.705	3.169	30.005	0	0	0	34.765	13.266	5.843	103.615	0	0	0	44.491	0	1	10.95	28.65	0	34.899	5.376	30.553	0	17.176	6.574	14.482	29.845
KM4047	3.177	0	0	0	0	0	0	0	1.658	0	0	3.375	1.225	8.344	1	1.225	0	2.53	6.25	1	0	4	2.008	0	3	13	9.335	0	0	0	0	0	0	0	0	0	0	0	0	6.005	1.33	16.313	2	3.686	0	0	0	6.847	0	1.306	22.398	0	0	1.351	0	2	0	0	1.337	0	1.591	0	0	0	2.373	0.654	1.078	0
KM4048	0	6.983	0	0	0	0	0	3.151	2.865	0	0	0	0	1	0	0	0	0	0	0	0	4	2.259	0	0	5	1.023	3	0	0	0	0	0	0	0	0	0	0	4.23	2.754	0	3.323	0	1	0	0	0	4.296	1	2.111	5.162	0	0	0	1	0	0	1.085	3	0	0	0	0	0	0	0	1.439	2.191
KM4049	160.871	0	0	22.5	115.624	0	0	0	45.719	0	13.756	143.559	74.688	109.302	41.877	51.925	0	168.615	56.869	57.428	5.055	91.05	31.056	4.074	113.898	433.362	155.949	288.969	0	0	0	0	0	0	0	0	0	0	133.299	52.3	64.476	49.456	10.838	107.45	0	0	0	99.707	41.862	14.946	27.808	0	0	2	143.841	0	0	71.211	54.657	0	128.165	28.606	93.923	0	60.595	25.243	91.267	94.26
KM4050	2.347	0	5.177	0	1.094	1.575	0	0	0	0	0	3.193	0	3.037	0	0	1	0	2	2.207	1	0	0	0	0	0	2.563	4	8.324	1.941	0	0	1	10.045	1	16	0	0	1.037	0	0	1	1	0	0	0	8.247	4	2.362	0	0	0	1.403	0	0	11.479	0	6.714	0	0	1	0	0	0	1.255	0	1	1.986
KM4051	0	8.673	9.793	0	0	10.731	1.628	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.467	0	0	1	6.515	0	5	0	1	0	0	0	0	0	0	0	4.332	11.313	1	0	0	0.416	1.206	0	0	1	1.562	0	0	0	0	0	0	0	0	0	0	1	0
KM4052	0	5.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	0	1	0	4	0	0	0	0	31.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0
KM4053	12.394	3.773	0	15.835	9.199	9.022	6.118	0	27.494	0	0	35.091	19.779	19.429	1.152	12.738	0	6.696	31.165	33.39	10.993	37.773	0.296	48.528	0	0	25.401	2	0	7	2	1.045	0	17.458	0	3	0	0	27.796	110.75	17.493	15.772	5.965	0	0	13	15.173	71.143	16.914	19.028	478.094	0	12.924	1.159	6	3.532	0	13.984	74.336	0	65.874	3.368	13.767	0	18.87	21.394	16.813	30.135
