term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(age_1_5_years_3)2,-0.08789314094415127,0.10331008870018636,-0.8507701624303485,0.3953284220693033,age_1_5_years_3,Ruthenibacterium_lactatiformans,0.3953284220693033
factor(age5_10_years_3)2,-0.1766038339360987,0.10129357478818407,-1.7434850562377386,0.0819000264298442,age5_10_years_3,Ruthenibacterium_lactatiformans,0.0819000264298442
factor(age_10_18_years_3)2,-0.18158752980897544,0.09991788802183643,-1.8173675745557254,0.06979478067114515,age_10_18_years_3,Ruthenibacterium_lactatiformans,0.06979478067114515
factor(age_1_5_years_5)2,0.10871000971166493,0.10954237789907105,0.992401404795384,0.32151130454610327,age_1_5_years_5,Ruthenibacterium_lactatiformans,0.32151130454610327
factor(age_5_10_years_5)2,0.08613495678673912,0.09594110014889526,0.8977899633531662,0.36975525440615464,age_5_10_years_5,Ruthenibacterium_lactatiformans,0.36975525440615464
factor(age_10_18_years_5)2,0.019038743666251284,0.09422690309559854,0.202052100204709,0.839963234075073,age_10_18_years_5,Ruthenibacterium_lactatiformans,0.839963234075073
factor(age_1_5_years_6)2,0.08699108312069091,0.10072429874065048,0.8636553861216699,0.3882158821965971,age_1_5_years_6,Ruthenibacterium_lactatiformans,0.3882158821965971
factor(age_5_10_years_6)2,0.07605927365149544,0.10488002416371142,0.7252026709373319,0.46868707942555343,age_5_10_years_6,Ruthenibacterium_lactatiformans,0.46868707942555343
factor(age_10_18_years_6)2,0.05051578272414733,0.11042593288804199,0.45746303792030424,0.6475487567367856,age_10_18_years_6,Ruthenibacterium_lactatiformans,0.6475487567367856
factor(age_1_5_years_7)2,-0.06468723677570959,0.10513929743391974,-0.6152527014588969,0.5386843670166562,age_1_5_years_7,Ruthenibacterium_lactatiformans,0.5386843670166562
factor(age_5_10_years_7)2,-0.03472647863734308,0.1171578947783155,-0.2964074994950364,0.7670492748307198,age_5_10_years_7,Ruthenibacterium_lactatiformans,0.7670492748307198
factor(age_10_18_years_7)2,-0.01467845823481751,0.1322488302000149,-0.11099121415756655,0.9116704932058246,age_10_18_years_7,Ruthenibacterium_lactatiformans,0.9116704932058246
factor(age_1_5_years_8)2,0.07190118087036497,0.10716923996301209,0.6709124828652384,0.502605148409327,age_1_5_years_8,Ruthenibacterium_lactatiformans,0.502605148409327
factor(age_5_10_years_8)2,0.07572072406081873,0.09735383809985852,0.7777887912662456,0.4370840445360148,age_5_10_years_8,Ruthenibacterium_lactatiformans,0.4370840445360148
factor(age_10_18_years_8)2,-0.01629157661506084,0.09693091500456422,-0.16807410323418193,0.8665974346964762,age_10_18_years_8,Ruthenibacterium_lactatiformans,0.8665974346964762
factor(age_1_5_yers_9)2,0.032611623975121004,0.10138576264952313,0.3216588120745807,0.7478535806677304,age_1_5_yers_9,Ruthenibacterium_lactatiformans,0.7478535806677304
factor(age_5_10_years_9)2,-0.09246085642588371,0.09819043650995626,-0.9416482878809528,0.34685442535988276,age_5_10_years_9,Ruthenibacterium_lactatiformans,0.34685442535988276
factor(age_10_18_years_9)2,-0.11458184302619605,0.10171683802384689,-1.1264786170342125,0.2605353764015562,age_10_18_years_9,Ruthenibacterium_lactatiformans,0.2605353764015562
factor(age_1_5_years_10)2,0.11821601535615078,0.130799956386222,0.9037924676907861,0.36656649293830845,age_1_5_years_10,Ruthenibacterium_lactatiformans,0.36656649293830845
factor(age_5_10_years_10)2,-0.007896909710106243,0.10310112663993178,-0.0765938255717151,0.9389791260726634,age_5_10_years_10,Ruthenibacterium_lactatiformans,0.9389791260726634
factor(age_10_18_years_10)2,-0.054160635633560654,0.10573402448096422,-0.5122346936043415,0.6087263602326927,age_10_18_years_10,Ruthenibacterium_lactatiformans,0.6087263602326927
factor(age_1_5_years_11)2,0.06949214723954107,0.11357322616004328,0.6118708571473989,0.54091844183021065,age_1_5_years_11,Ruthenibacterium_lactatiformans,0.54091844183021065
factor(age_5_10_years_11)2,-0.06870690502823308,0.10005931013321817,-0.6866617902597695,0.49263307824182934,age_5_10_years_11,Ruthenibacterium_lactatiformans,0.49263307824182934
factor(age_10_18_years_11)2,8.840156129037359e-4,0.10682480399728495,0.008275377813248355,0.9934007756039912,age_10_18_years_11,Ruthenibacterium_lactatiformans,0.9934007756039912
factor(age_1_5_years_12)2,-0.03572306176493887,0.09231422903096247,-0.3869724325267045,0.6989510274618553,age_1_5_years_12,Ruthenibacterium_lactatiformans,0.6989510274618553
factor(age_5_10_years_12)2,-0.029899542926381393,0.10088407293075681,-0.29637525585335317,0.7670738807482869,age_5_10_years_12,Ruthenibacterium_lactatiformans,0.7670738807482869
