term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(crp)1.8,-0.007350568878413753,0.05188139488425204,-0.14168024770368942,0.8874101065468172,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)10,0.0024811851030439474,0.03702500861290328,0.06701376167078729,0.9466071406591924,crp,GGB9759_SGB15370,0.9466071406591924
factor(crp)10.25,-0.016813324697907004,0.051732424154111396,-0.325005544836251,0.7453615614141714,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)10.8,-0.015807236767434354,0.05188495651561616,-0.3046593430733,0.7607978365852397,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)11,-0.016611430446405655,0.029946703712944125,-0.554699796199124,0.5794369835074134,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)11.4,-0.006962167882186028,0.051877687300385666,-0.13420351300306077,0.8933150128449112,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)113.2,-0.004790851885269923,0.052078404175288424,-0.09199306240538024,0.9267536081352341,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)12,-0.014077618056059848,0.05191098211389179,-0.2711876655535778,0.7863987522888273,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)12.31,-0.015862572671882177,0.05172666199965748,-0.306661440322347,0.7592745209909638,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)13,-0.006101722169120119,0.03679001255121544,-0.16585267973545542,0.8683639661679812,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)13.5,-0.005466547241798156,0.05197578238140752,-0.10517489090753192,0.9162943364905598,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)14,-0.018240530407038737,0.05194813857223534,-0.35112962482139315,0.7256920392735354,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)14.3,-0.012418270535532747,0.051742549034790974,-0.24000113576126436,0.8104630064363514,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)15,-0.015343661384839957,0.05181133160171893,-0.29614489553730955,0.7672864781550391,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)16,-0.0170811988023008,0.026256330805574022,-0.6505554385639668,0.5157394562047466,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)19,-0.013939798347721005,0.05193575256173483,-0.26840466653777834,0.7885382430811303,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2,-0.01417263092434536,0.051701598122620526,-0.2741236526331773,0.7841434029455769,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.1,-0.006994789185449569,0.036993851359709895,-0.18907977754021074,0.8501345267602785,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.2,-0.004099568041646308,0.03749950044928905,-0.1093232707777053,0.9130056779793891,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.3,-0.020540924904576617,0.05175475266889021,-0.39688963516047815,0.6916789164264643,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.6,-0.007450776315809107,0.05203041614824658,-0.14320039829357,0.8862102923621107,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.7,-0.004653032176931064,0.05210376655673726,-0.08930318256098138,0.9288895460746843,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.8,-0.007889293569614524,0.05195909744661235,-0.1518366168257777,0.8793990061738166,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)2.9,-0.010260200476070081,0.05183853512973349,-0.19792612677793525,0.8432121484471802,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)20,-0.013735308096165843,0.03684806206725914,-0.37275523665517735,0.7095452176614817,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)23,-0.014814818317958256,0.05174821711045721,-0.28628654560863115,0.7748197598777159,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)23.2,-0.01419212787715327,0.051891545126985,-0.2734959585886947,0.7846254290167741,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)24,-0.015514755545031077,0.05197139300644001,-0.29852491240918966,0.7654710563454605,crp,GGB9759_SGB15370,0.9449307135717967
