term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
factor(age_5_10_years_6)2,0.5115650437759062,0.2763885852707913,1.8508906338324396,0.06480983509117468,age_5_10_years_6,rpoS.3,0.06480983509117468
factor(age_10_18_years_6)2,0.858632389926131,0.2892725626400717,2.9682469090388195,0.0031473090488699064,age_10_18_years_6,rpoS.3,0.0031473090488699064
factor(age_1_5_years_7)2,0.6208197110723381,0.27655979080199244,2.2447938265791656,0.025243732907309368,age_1_5_years_7,rpoS.3,0.025243732907309368
factor(age_5_10_years_7)2,0.02467011851827244,0.3097169213899912,0.07965376385492408,0.9365463932695479,age_5_10_years_7,rpoS.3,0.9365463932695479
factor(age_10_18_years_7)2,-0.22269159088128584,0.3494351728970255,-0.6372901417880749,0.5242448637463268,age_10_18_years_7,rpoS.3,0.5242448637463268
factor(age_1_5_years_8)2,0.3270782766082614,0.2829151490027604,1.1561002574841621,0.24822622664935087,age_1_5_years_8,rpoS.3,0.24822622664935087
factor(age_5_10_years_8)2,-0.012963549367802077,0.2574095141400641,-0.05036157816897253,0.9598556034068566,age_5_10_years_8,rpoS.3,0.9598556034068566
factor(age_10_18_years_8)2,0.16898118338052276,0.2553109833265674,0.6618641359599462,0.5083833563383842,age_10_18_years_8,rpoS.3,0.5083833563383842
factor(age_1_5_yers_9)2,0.3147420075011413,0.2676363629215601,1.1760061452986754,0.24018522289410627,age_1_5_yers_9,rpoS.3,0.24018522289410627
factor(age_5_10_years_9)2,0.13437143498284285,0.25972246268377697,0.5173654738768041,0.6051434231060968,age_5_10_years_9,rpoS.3,0.6051434231060968
factor(age_10_18_years_9)2,0.11845560374976855,0.26917992267842344,0.44006106611183576,0.6600943181051524,age_10_18_years_9,rpoS.3,0.6600943181051524
factor(age_1_5_years_10)2,0.44918911954559476,0.34543186422308614,1.3003696707478622,0.19410887464717214,age_1_5_years_10,rpoS.3,0.19410887464717214
factor(age_5_10_years_10)2,0.0831869958263787,0.27250791496235804,0.3052645125477161,0.7602992720614105,age_5_10_years_10,rpoS.3,0.7602992720614105
factor(age_10_18_years_10)2,0.09355401706956974,0.2795373188076056,0.33467451669291876,0.7380192956626088,age_10_18_years_10,rpoS.3,0.7380192956626088
factor(age_1_5_years_11)2,0.24066313311384166,0.2965631340876959,0.8115072490523242,0.41748433467981516,age_1_5_years_11,rpoS.3,0.41748433467981516
factor(age_5_10_years_11)2,-0.1838825174580268,0.26448919582616626,-0.6952364042079147,0.4872492849464526,age_5_10_years_11,rpoS.3,0.4872492849464526
factor(age_10_18_years_11)2,-0.3397592081705874,0.28194276380293615,-1.205064473327154,0.22878224529293495,age_10_18_years_11,rpoS.3,0.22878224529293495
factor(age_1_5_years_12)2,0.24070421644251888,0.24380659251631273,0.9872752576467502,0.3240135365973469,age_1_5_years_12,rpoS.3,0.3240135365973469
factor(age_5_10_years_12)2,-0.06727276713585105,0.26667949129911217,-0.2522607449419378,0.8009493379867085,age_5_10_years_12,rpoS.3,0.8009493379867085
factor(age_10_18_years_12)2,0.10086416014486979,0.2898499917359798,0.3479874522016392,0.7280047462437957,age_10_18_years_12,rpoS.3,0.7280047462437957
factor(breast_fed)2,-5.47955649545117,2.716800609332401,-2.0169152188160253,0.04427126294479851,breast_fed,algC.2,0.04427126294479851
factor(baby_food)2,3.0594522612414776,3.1853905006053735,0.960463798915718,0.33731673473920953,baby_food,algC.2,0.33731673473920953
factor(family_food)2,-1.6738213406331088,5.195128140937797,-0.3221905784081313,0.7474515803568613,family_food,algC.2,0.7474515803568613
factor(age_4_12_months_3)2,2.5618268265453983,2.5520470542997127,1.0038321284982612,0.3159738726670111,age_4_12_months_3,algC.2,0.3159738726670111
factor(age_1_5_years_3)2,0.9140321438866894,2.5167964237334113,0.36317285548698286,0.7166383515887833,age_1_5_years_3,algC.2,0.7166383515887833
factor(age5_10_years_3)2,0.8126883862037179,2.4737710828050603,0.328522065704719,0.7426626607665364,age5_10_years_3,algC.2,0.7426626607665364
factor(age_10_18_years_3)2,-1.78012762080241,2.4397534912411687,-0.7296342139454469,0.46597573227622324,age_10_18_years_3,algC.2,0.46597573227622324
factor(age_1_5_years_5)2,2.282355829140178,2.6676882858731883,0.8555556663896798,0.39267860960215284,age_1_5_years_5,algC.2,0.39267860960215284
factor(age_5_10_years_5)2,0.7180928710223021,2.3375724000330047,0.30719599145342547,0.7588296846761631,age_5_10_years_5,algC.2,0.7588296846761631
factor(age_10_18_years_5)2,3.3060597734535824,2.177613616919092,1.5182031136134364,0.12963411654291795,age_10_18_years_5,algC.2,0.12963411654291795
factor(age_1_5_years_6)2,1.7611689523637486,2.4528634912421294,0.7180052859247756,0.473109254985175,age_1_5_years_6,algC.2,0.473109254985175
factor(age_5_10_years_6)2,1.3580725559402276,2.5540997203212763,0.531722604695089,0.5951682932622004,age_5_10_years_6,algC.2,0.5951682932622004
factor(age_10_18_years_6)2,1.7023313507248472,2.6879189302914557,0.6333268952201101,0.5268269366538114,age_10_18_years_6,algC.2,0.5268269366538114
factor(age_1_5_years_7)2,-0.517688558845341,2.5606701061995842,-0.20216917344876884,0.8398715792079233,age_1_5_years_7,algC.2,0.8398715792079233
factor(age_5_10_years_7)2,0.05579022387105644,2.8526276278219163,0.019557485641283748,0.9844046434248138,age_5_10_years_7,algC.2,0.9844046434248138
factor(age_10_18_years_7)2,1.9647216299999675,3.218543816634329,0.6104380558206913,0.5418654702835253,age_10_18_years_7,algC.2,0.5418654702835253
factor(age_1_5_years_8)2,0.7175347193663625,2.4836262817777675,0.2889060744085679,0.7727803663151515,age_1_5_years_8,algC.2,0.7727803663151515
factor(age_5_10_years_8)2,1.439042046479851,2.255752294158344,0.6379432928901352,0.5238206147558138,age_5_10_years_8,algC.2,0.5238206147558138
factor(age_10_18_years_8)2,0.491915863336375,2.2448069687588283,0.21913503930734818,0.8266401891254692,age_10_18_years_8,algC.2,0.8266401891254692
factor(age_1_5_yers_9)2,-0.5237739169318856,2.468522787672849,-0.2121811147733674,0.8320573351049448,age_1_5_yers_9,algC.2,0.8320573351049448
